"ID","researcher","year","title","journal","article_type","article_type_other","continents","countries","municipalities","gen_type","urban_type","gradient_study","agriculture_type","ag_type_other","production_type","production_type_other","conservation","question","result_1","result_2","ipm"
11,"SKH",2013,"why garden for wildlife? social and ecological drivers motivations and barriers for biodiversity management in residential landscapes","Ecological Economics","research","","europe","England","Leeds","amphibian; bird; invertebrate; mammal; plant; reptile","urban","not gradient study","residential garden","","food;ornamental","\"for wildlife\"","information","What motivates gardeners to do wildlife friendly gardening?","Residents reveal a range of motivations for wildlife-friendly gardening, notably personal well-being and a moral responsibility to nature. social norms are a considerable barrier to uptake of wildlife-friendly activities, but also provide opportunity.","Community-driven initiatives that engage, educate and empower residents are better placed to encourage wildlife-friendly gardening than top-down financial incentives. Mean WRI associated with bird richness and diversity.",0
12,"SKH",2013,"virtual garden computer program for use in exploring the elements of biodiversity people want in cities","Conservation Biology","research","","europe","France","Paris","amphibian; bird; fish; invertebrate; plant; reptile","urban","not gradient study","residential garden","virtual personal garden","food;ornamental","","information","Virtual Garden allows researchers to explore what elements of biodiversity people would like to have in their nearby green spaces while accounting for other functions that people value in urban green spaces","average \"ideal\" gardens contained 5 different animals, 8 flowers, and 5 woody plant species, not different from expected by random. 30% of participants did not place any animal species in their gardens.","Among those who placed animals in their gardens, 94% selected colorful species, 53% selected herptiles or large mammals, and 67% selected non-native species",0
13,"SKH",2014,"enhancing urban biodiversity and its influence on city-dwellers an experiment","Biological Conservation","research","","europe","France","Paris","bird; invertebrate; plant","urban","not gradient study","community garden/farm","","ornamental","","cons_effects","Does increasing species diversity in public gardens enhance the connection of people with nature?","1) Plant, bird and pollinator diversity was significantly increased in public gardens; 2)Visitors expressed high interest in biodiversity and related it to their garden wellbeing","3) But, visitors did not notice the changes we introduced and underestimated species diversity.; 4) The people-biodiversity relationship is not as straightforward as commonly argued.",0
14,"SKH",2014,"evaluating the national wildlife federation's certified wildlife habitat (tm) program","Landscape and Urban Planning","research","","north america","USA","Orlando","amphibian; bird; invertebrate; mammal; plant; reptile","urban","not gradient study","residential garden","","ornamental","","cons_effects","1) Do yards enrolled in the NWF Certified Wildlife Habitat™ program offered increased quantity and quality of wildlife habitat as compared to non-certified yards in the same neighborhood","NWF Certified yards provided more abundant and higher quality wildlife habitat relative to non-certified yards. The presence of fencing was one of the biggest problems with the certified yards and contributes to a lack of habitat accessibility","The NWF's Certified Wildlife Habitat™ program appears to be successful as an outreach program that encourages landowners to landscape and manage their property to benefit wildlife.",0
15,"SKH",2015,"biodiversity in my (back)yard towards a framework for citizen engagement in exploring biodiversity and ecosystem services in residential gardens","Sustainability Science","research and review","","europe;north america","USA; Netherlands","Phoenix, Maastricht","bird; fish; invertebrate; mammal; plant; reptile","urban","not gradient study","residential garden","","unknown","","information","Development of an instrument (BIMBY - Biodviersity in My  (Back) Yard) to increase awareness and stimulation knowledge on the values, uses, and small scale biotic and abiotic strubutes that enhance or hinder the quality, richness, and abundance of biodive","ersity in and beyond urban areas. Analyzed pictures of front yards to develop a framework to assess garden biodviersity and eco services and disservices and the way gardens are used, maintained, and valued by their owners in a trans-disciplinary, and","participatory way. The BIMBY framework itself is the result.",0
16,"SKH",2003,"some correlates of density in an urban blackbird turdus merula population","Bird Study","research","","europe","England","Harwich","bird","urban","not gradient study","residential garden","","unknown","","distribution;information","Background: blbi densities highest in urban areas, now, What are the densities of Blackbirds WITHIN these urban areas, and housing developments specifically?","Blackbird density within a town is positively correlated to the proportion of gardens and open space and negatively to housing density within individual developments. These urban areas have higher densities than arable industrial lands.","Density garden relationship holds until this approaches 80%, after which densities become very variable in relation to further increases in open areas.",0
17,"SKH",2007,"seventeen years of predation by one suburban cat in new zealand","New Zealand Journal of Zoology","research","","australia","New Zealand","Lower Hutt","amphibian; bird; mammal; reptile","urban","not gradient study","residential garden","","ornamental","","information;manage_effects","What did a feral (but regularly fed) cat prey on in the garden over the 17 years of her life?","558 prey items. 223 birds brought in, 54 were native, including 43 silvereyes - but those killed were quickly replaced, so there was always a resident population of 1-2 pairs. 221 mice, 63 rats, 35 rabiits, 4 hares, 2 weasels, 9 skinks, 1 frog. 3 nests!","The abundance of birds and reptiles in the garden showed no apparent change over 17 years with cat vs. 15 years without cat. In contrast, cats exterminated rabbits, and farmed surrounding burrows. Older cat (>8 or 9) brough in fewer prey.",0
19,"NF",2017,"an approach for butterfly conservation through setting up a garden in an urban area, kolkata, india","World Scientific News","research","","asia","India","Kolkata","invertebrate; plant","urban","not gradient study","residential garden","pollinator garden","ornamental","","cons_effects;distribution;information;manage_effects","will a newly established pollinator garden be a refuge for urban butterflies?","yes","",0
20,"NF",2004,"bee diversity and abundance in an urban setting","Canadian Entomologist","research","","north america","Canada","vancouver","invertebrate; plant","urban","not gradient study","botanical garden;community garden/farm;park garden/farm;residential garden","","food;livestock;ornamental","","information","how does diversity and abundance differ in species and functional traits between different types of urban sites?","community gardens can sustain high levels of bee diveristy, close to diversity of urban naturescape patches","",0
21,"NF",2013,"direct and indirect effects of land use on floral resources and flower-visiting insects across an urban landscape","Oikos","research","","north america","USA","new york city","invertebrate; plant","urban","not gradient study","community garden/farm","","food;ornamental","","distribution;information","wher are the pollinators?","pollinators like flowers which are in areas with high levels of gardening and community gardens","",0
22,"NF",2019,"domestic gardens as favorable pollinator habitats in impervious landscapes","Science of the Total Environment","research","","europe","France","","invertebrate","urban","gradient study","residential garden","","food;ornamental","","distribution;information;manage_effects","what factors influence polliantor diversity?","pollinators like floral resources, especially those found in gardens as compared to impervious surfaces","",0
23,"NF",2017,"most ornamental plants on sale in garden centres are unattractive to flower-visiting insects","Peerj","research","","europe","England","Sussex","invertebrate; plant","urban","not gradient study","business garden/farm","","ornamental","","information","what is the attractiveness of plants sold at a garden center?","most varieties being relatively unattractive, and few varieties highly attractive to flower-visiting insects","",0
24,"NF",2019,"multi-scalar drivers of biodiversity local management mediates wild bee community response to regional urbanization","Ecological Applications","research","","north america","USA","Austin; Dallas-Fortrworth","invertebrate","urban","gradient study","business garden/farm;community garden/farm","","food;ornamental","","distribution;information;manage_effects","how do regional level factors influence bee diversity and abundance?"," within agriculture sites, bee richness was greater with increasinglandscape-level seminatural habitat","ag sites have high abundance but not richness",0
25,"NF",1999,"trees outside forests agro-, community, and urban forestry","New Forests","research and review","","africa; europe; asia; australia; north america; south america","global","","plant","urban","not gradient study","residential garden","","food","","information","what is the nature of trees in cities?","lots of uses","",0
26,"NF",2018,"unique bee communities within vacant lots and urban farms result from variation in surrounding urbanization intensity","Sustainability","research","","north america","USA","Cleveland","invertebrate","urban","not gradient study","teaching_farm","1","food;ornamental","","distribution;information;manage_effects","how do the assemblages of bees differ between vacant lots and urban farms?","the composition of floral resources and common foragers varied by habitat type, bu mining bees dominated both sites","",0
27,"SKH",2016,"user participation in urban green commons exploring the links between access, voluntarism, biodiversity and well being","Urban Forestry & Urban Greening","research","","europe","England","Manchester","plant","urban","not gradient study","community garden/farm","","food;ornamental","","information","What are the links between biodiversity potential, site access and user participation in examples of organised social–ecological initiatives in the inner-city area of Greater Manchester?","Site spatial and design characteristics affected all three measures and subsequent correlational analyses revealed a high degree of synergy between site use and biodiversity. Strong correlation between volunteer hours abd biodiversity measure.","The study provides quantitative evidence of the synergistic relationship between green space use and urban biodiversity and, importantly, the positive feedbacks which should result between volunteer input and the local generation of ecosystem services",0
28,"SKH",2016,"different social drivers, including perceptions of urban wildlife, explain the ecological resources in residential landscapes","Landscape Ecology","research","","north america","USA","Chicago","bird; plant","urban","not gradient study","residential garden","","food;ornamental","","information","1) What are the wildlife resources and management activities in residential landscapes the vegetation in front and back yard? 2) Do socioeconomic decisions, neighborhood design, and perception of birds explain variation in yards?","back yards contain more wildlife resources than front yards: greater veg complexity, fruit and berries, and bird attractants.","Perception of birds best explained variation in back yard vegetation and wildlife-friendly resources per parcel, while neighbor's yards and socioeconomic characteristics bets explained from yard vegetation.",0
29,"SKH",2016,"BIMBY's first steps a pilot study on the contribution of residential front-yards in phoenix and maastricht to biodiversity, ecosystem services and urban sustainability","Urban Ecosystems","research","","europe;north america","USA; Netherlands","Phoenix, Maastricht","amphibian; bird; invertebrate; mammal; plant; reptile","urban","not gradient study","residential garden","","food;ornamental","","cons_effects","How do front-yards in Phoenix and Maastricht contribute to biodiversity, eco services, and sustainable urban environments through applying the BIMBY indicator framework.","Bird boxes, desert gardens, vertical diversity, wild flowers, all contributed to \"Total Diversity\" scores for the neighborhoods. Also calculated \"Dis-contributions to biodiversity\". ncreased biodiversity via oasis in Phoenix is not-sustainable because of","water and fertiilzier impacts vs. lower diversity, but contextually appropriate xeric/desert gardening. Conversely, Maastricht xeriscaping is popular, but contributes to low sustainability and fragmentation compared to native forests, contextually.",0
30,"SKH",2017,"ecosystem services of collectively managed urban gardens exploring factors affecting synergies and trade-offs at the site level","Ecosystem Services","research","","europe","England","Manchester","plant","urban","gradient study","community garden/farm","","food;ornamental","","cons_effects","What are the synergies and trade-offs between 4 ecosystem services (microclimate, food yield, biodiversity, well-being/learning in collectively managed urban gardens?","Correlation analyses demonstrated high levels of synergy. Biodiversity core positively associated with area and score/area negatively correlated with 
between ecological (biodiversity) and social (learning and well-being) benefits related to such spaces.","Biodiversity postivelie correlated to learning and well-being, not associated with others. Trade-offs were highly mediated by site size and design, resulting in a tension between increasing site
area and the co-management of ecosystem services",0
31,"SKH",2017,"human-biodiversity interactions in urban parks the species level matters","Landscape and Urban Planning","research","","europe","Germany","Berlin","plant","urban","not gradient study","urban_foraging","1","food;ornamental","","information","What are the direct people-biodiversity interactions focused on plants in large parks located in the urban core of Berlin?","12% of all observed activities were interactions with individual plant species. 17% of wild or cultivated plants from local species pools were utilized.","Plants were utilized in 3 main ways: 1) consumption, 2) decoration, 3) biodiversity experience. 78% of people interacting with plants in parks were women.",0
32,"SKH",2017,"does education influence wildlife friendly landscaping preferences?","Urban Ecosystems","research","","north america","USA","Raleigh","bird; plant","urban","not gradient study","residential garden","","unknown","Native plants","information","Does education influence wildlife friendly landscaping preferences?","Preferences for all four native plant landscaping coverages were different after the information treatment.","",0
33,"SKH",2017,"wildlife gardening for collaborative public-private biodiversity conservation","Australasian Journal of Environmental Management","research","","australia","Australia","Melbourne","amphibian; bird; plant; reptile","urban","not gradient study","community garden/farm;residential garden","","ornamental","","cons_effects","How does a purposively chosen wildlife gardening program in Melbourne, Australia engage and supporte residents to augment local government (public) efforts to conserve indigenous biota?","Interviewees changed their gardens to conserve indigenous biota. 5 program features were correlated with change: (1) on-site garden assessment; (2) indigenous community nursery; (3) communication hubs; (4) experiential learning and community linkages","Connecting local gardeners to wider impacts helps probability of success.",0
34,"SKH",2017,"contrasting effects of visiting urban green-space and the countryside on biodiversity knowledge and conservation support","Plos One","research","","europe","England","Manchester, Blackburn, Leeds, Harrogate, Bristol, Bath","bird; mammal; plant","urban","not gradient study","residential garden","","unknown","","information","Among other places (compared), does the amount of time spent in garden increase knowledger of biodiversity?","Garden use had negligible (CI overlapping zero) influence on biodiversity knowledge.","biodiversity
Knowledge and conservation support are much more strongly associated with green-space visitation rates than other potentially confounding variables such as garden use or engagement with nat hist programs",0
35,"SKH",2018,"show me your garden and i will tell you how sustainable you are dutch citizens' perspectives on conserving biodiversity and promoting a sustainable urban living environment through domestic gardening","Urban Forestry & Urban Greening","research","","europe","Netherlands","Netherlands","amphibian; bird; invertebrate; mammal; plant; reptile","urban","not gradient study","residential garden","","ornamental","","information","How do Dutch domestic gardens contribute to, and reflect public values related to urban sustainability and biodiversity conservation? Do respondents connect their gardening activities to ideas of biodiversity conservation and (urban) sustainability","What garden activities are important? 2% greening the neighborhood, 40% being outside, 2 % growing food, 26% relaxing. 58% feed wildlife in gardens.","Gardens contribute to biodviersity in the local environment (66%), contribute to global biodiversity (39%). Also, these answers depend on the perspective of interviewee (hierarchist, egalitarian, individualst, fatalist, autonomous, dynamic integrator",0
36,"SKH",2018,"routine experiences of nature in cities can increase personal commitment toward biodiversity conservation","Biological Conservation","research","","europe","France","Paris","bird; plant","urban","not gradient study","community garden/farm","allotment garden","food;ornamental","","cons_effects","Are experiences and knowledge in and of biodviersity correlated? Is connectedness is correlated with experiences? Pro-biodiversity practices are related to expereinces with nature, knowledge, and connectedness.","People involved in experiences of nature in which attentiveness to biodiversity is explicit (citizen science, nature watch association, environmental association) have more knowledge about biodiversity and conservation than people involved in experiences","of nature in which attention to biodiversity is implicit (community garde, CSA, etc.). However, folks experiencing nature as a part of a daily routine were more connected and likely to implement biodiversity conservation practices",0
37,"SKH",2019,"biodiverse edible schools linking healthy food, school gardens and local urban biodiversity","Urban Forestry & Urban Greening","research","","europe","Germany","Berlin","plant","urban","not gradient study","teaching_farm","1","food","","cons_effects","A case study of a biodiverse edible school in Berlin, bringing together environmental ed, food production, and biodiversity conservation.","1) collaboraitve activities in planning, managing, and using the school garden and wild wasteland site. 2) school kitchen with food from regional producers, 3) schoolgrounds garden, 4) neighboring wild urban site as a habitat for wild edible plants.","Edible herbs and grasses 48.3%; non-edible herbs and grasses 27.8%. Of edible herbs and grasses, 84% were native species. Of non-edible, 90% were native species. For edible wood, 60% native, NE woody, 22% native.",0
38,"SKH",2019,"exploring the co-benefits (and costs) of home gardening for biodiversity conservation","Local Environment","research","","north america","Canada","Winnipeg","bird; invertebrate; plant","urban","not gradient study","residential garden","","food;ornamental","for wildlife","cons_effects","What are the benefits of gardening for conservation in home gardens as identified by study participants? Survey sample: main motivation for home gardening was the conservation of local biodiversity.","Providing habitat and attracting native animals (12%) and fostering reciprocity and community building (16%) and supported place attachment (10%) were top reasons given for gardening for conservation.","However, conflicts emerged between neighbours, gardeners and passers-by, and gardeners and municipality officers, relating to differing expectations of cleanliness and tidiness of the home garden.",0
39,"SKH",2005,"urban domestic gardens (iv) the extent of the resource and its associated features","Biodiversity and Conservation","research","","europe","England","Sheffield","amphibian; bird; plant","urban","not gradient study","residential garden","","food;ornamental","","information","What is the size and composition of the resource that domestic gardens provide for biodiversity and ecosystem functioning?","Domestic gardens, (mean = 151 m2), cover approximately 33 km2 or 23% of the predominantly urban area of the city. Smaller gardens take up more % because so many of them, not because of individual size.","14.4% of dwellings with gardens were estimated to have ponds, 26% have nest boxes, 29% to have compost heaps, 48% to hold trees more than 3 m tall, and 14% have 1 or more cats.",0
40,"SKH",2007,"an environmental accounting framework applied to green space ecosystem planning for small towns in china as a case study","Ecological Economics","research","","asia","China","Shaliuhe Hebei Province","plant","urban","not gradient study","business garden/farm;residential garden","","ornamental","","information","This paper aims to find out the required total amount of green space for a typical small town by means of a quantitative case study. It calculates the pop cc, c-02 balance, and h20 resource supply, elements that restrict opp for sustainability.","Trees in domestic gardens produce 42 t/ha/yr of 02, nursery gardens also 42 t/ha/yr.","Present greenbelt acreage is 26.7 (nursery garden) and 185.9 (trees in domestic gardens); annual 02 production/year is 1121.4 for nursery gardens, and 7807.8 for trees in domestic gardens",0
41,"SKH",2008,"urban domestic gardens (xiv) the characteristics of gardens in five cities","Environmental Management","research","","europe","England; Scotland; Wales; Northern Ireland","Edinburtgh, Belfast, Cardiff, Leicester, Oxford","plant","urban","not gradient study","residential garden","","food;ornamental","","information","What is the variation in urban garden composition in relation to housing characteristics and the surrounding landscape in the UK?","In all 5 cities, garden size had an overwhelming influence on garden composition. With larger gardens more likely to support tall trees, mature shrubs, unmowed areas, uncultivated land, vegetable patches, ponds, and composting sites.","The proportional contribution of non-vegetated land-uses decreased as garden area increased. House age less significant in determining the land-use within gardens, though older tended ot have greater veg canopy >2.",0
42,"SKH",2013,"improving city life options for ecological restoration in urban landscapes and how these might influence interactions between people and nature","Landscape Ecology","research and review","","australia;north america","USA; Australia","Chicago, Perth","plant","urban","not gradient study","residential garden","","food;ornamental","","information","Consider 4 urban restoration options: 1) conserve and restore nature at the fringes, 2) restore remnant patches of urban nature, 3) manage noveL ecosystems, 4) GARDEN WITH ICONIC SPECIES","Gardening with iconic species for sense of place","Gardens can be a form of increasing species diversity and \"restoring\" cities of some of their function.",0
43,"SKH",2014,"putting domestic gardens on the agenda using empirical spatial data the case of flanders","Applied Geography","research","","europe","Belgium","Flanders","plant","urban","not gradient study","residential garden","","unknown","","information","What is the spatial coverage, distribution, and growth of domestic garden area in Flanders?","8% of Flemish area is covered by domestic gardens, and 21% of total area of Flemish residential corew.","8% of garden area existing 2002-2005 did not existe in 1988-1990 and was primarily farmland before.",0
44,"SKH",2013,"greener growing assessing the influence of gardening practices on the ecological viability of community gardens in south east queensland, australia","Journal of Environmental Planning and Management","research","","australia","Australia","Brisbane, Gold Coast","invertebrate; plant","urban","not gradient study","community garden/farm","","food","","cons_effects","What are the gardening practices of 50 community gardens and how might gardening practices effect the ecological viability of community gardens?","Motivations for 17/50 gardens were for environmental sustainability. 29/50 do specific planting to attract beneficial insects. 25/50 maintain healthy soil, diverse plant species used in 22/50","Yards were categorized into broad characteristics: permacutlure (21 gardens) and non-permaculture gardens (29) were identified. Permaculture gardens used lower-impact gardening practices.",1
45,"SKH",2015,"multifunctionality assessment of urban agriculture in beijing city, china","Science of the Total Environment","research","","asia","China","Beijing City","plant","urban","not gradient study","business garden/farm","","food","","information","What are the integrated functions and multifunctionality (based on ecological, social, and economic aspects) of urban ag in Beijing City?","\"Ecological conservation\" = the positive effects of ag activities on eco services, biodviersity protection, bioresource, recycling, etc. but they define eco conservation for biodiversity as recycling with biogas facilities.","I have no idea",0
46,"SKH",2016,"synthesis of household yard area dynamics in the city of san juan using multi-scalar social-ecological perspectives","Sustainability","research","","north america","Puerto Rico","San Juan","plant","suburb;urban","not gradient study","residential garden","","food;ornamental","","information","Through owner surveys provide a synthesis of several social-ecological processes driving residential yard dynamics in the city of San Juan through the evaluation of empirical findings related to yard management decisions, yard area, and yard services.","Planting predicted by gender +, years of ed -, neighborhood + and yard area +. Age + and household size -, predicted fertilizer use. Pestides by Age +, years of ed +. Water not predicted by any of these. Hired labor by yrs of ed + and neighborhood","Cost of yard mainenance by: yard area + > yrs of ed + > income. Yard services by ownership. Yard eco services were food production > recreation, tourism > household tasks > habitat > aesthetic, > climate > disease regulation > cultural =security=biochemic",0
47,"SKH",2016,"site-specific factors in the production of local urban ecosystem services a case study of community-managed green space","Ecosystem Services","research","","europe","England","Manchester, Salford, Trafford","plant","urban","not gradient study","community garden/farm","community allotments","food","","information","How do green spaces provide eco services: microclimate reg.,food yield, biodiversity potential, education and well-being? What are their contributions to productivity of vegetation cover, food cultivation area, genera richness, volunteer input, site size.","Level of biod potential varied among sites. Site volunteer input accounted for 85% of variation in site plant genera richness. Genera richness was highly correlated with volunteer hours, total area, and the cumulative provision score.","unlike predicitons, veg cover was negatively correlated with cumulative provision score. Food production was correlated with cumulative provision.",0
48,"SKH",2017,"urban development, land sharing and land sparing the importance of considering restoration","Journal of Applied Ecology","research","","europe","England","Cambridge","plant","urban","not gradient study","residential garden","","ornamental","","information","Are populations of wild species greater under low-density housing (with larger gardens, land-sharing) or high density housing (allowing more area to be left as undeveloped green spaces; land-sparing)?","Density of native and non-native trees are presently highes in areas of low human density vs. high human density.  But restoring woodland in green spaces and increasing human density would lead to greater tree densities, carbon sequestration.","Risk is disconnecting people from nature.",0
49,"SKH",1991,"australian brush-turkeys in a suburban environment - implications for conflict and conservation","Wildlife Research","research","","australia","Australia","Brisbane","bird","suburb","not gradient study","residential garden","","ornamental","","distribution;information","The species' presence in the suburbs has increased steadily and it is now common in many suburbs: how is it doing there?","Although suburban mounds contained similar numbers of eggs as mounds from the wild, suburban mounds were more prone to failure, probably due to the use of inappropriate mound materials","Despite some evidence of increasing spread within the suburbs, the long-term survival of the species is seriously threatened by hatchling predation and continued loss of habitat.",0
50,"SKH",1993,"birds in european gardens in the winter and spring of 1988-89","Bird Study","research","","europe","Finland; Norway; Sweden; Denmark; Germany; Austria; Spain; Italy; Portugal; France; Switzerland; Belgium; Netherlands; Republic of Ireland","several","bird; plant","urban","not gradient study","residential garden","","ornamental","habitat","distribution;information","Which species were most frequently and abundantly recorded in gardens in different parts of Europe? How do patterns of occurrence and abundance vary between seasons and between different garden types?","Garden size was the most important factor in determining the number of spp present: more area == more spp. Gardens with decid and conifer trees had more species. Urban vs. suburban gardens had fewer species. Artificial had little effect on SR.","Spp composition similar throughout Europe.",0
51,"SKH",1996,"nest predation in australian urban environments and the role of the pied currawong, strepera graculina","Australian Journal of Ecology","research","","australia","Australia","several","bird; mammal","urban","not gradient study","residential garden","","unknown","","information","What are the nest predators in this city?","Predation incidence was higher in gardens with more trees and in which kookaburras, Dacelo novaeguineae, were fed frequently. Among nests placed in trees, nest predation was correlated with nest height","Sixty-four per cent of nests were preyed upon, with most predation being the result of large birds. pied currawongs were the most common large bird, accounting for 52% of all predation",0
52,"SKH",2001,"divorce and its consequences in the common blackbird turdus merula","Ibis","research","","europe","Germany","Bonn","bird","urban","not gradient study","botanical garden","","ornamental","","none","What are the \"divorce rates\" and consequences in Turdus merula?","The number of breeding pairs varied from 32 to 39 per breeding season. Mean divorce rate (pair separation with remating of at least one of the partners) between two breeding seasons was 19.3% and 5.1% within breeding seasons","The number of fledglings produced per breeding season, of pairs which subsequently divorced, was significantly lower than that of pairs that stayed together.",0
